from	to
TKM	Central Asia
PHL	South-eastern Asia
SYC	Sub-Saharan Africa
IND	Southern Asia
VAT	Southern Europe
BMU	Northern America
ITA	Southern Europe
ALA	Northern Europe
TCD	Sub-Saharan Africa
FRO	Northern Europe
DEU	Western Europe
MDV	Southern Asia
BOL	Latin America and the Caribbean
MSR	Latin America and the Caribbean
BHR	Western Asia
KOR	Eastern Asia
BWA	Sub-Saharan Africa
SYR	Western Asia
TKL	Polynesia
GLP	Latin America and the Caribbean
USA	Northern America
COK	Polynesia
SWZ	Sub-Saharan Africa
MLT	Southern Europe
BTN	Southern Asia
JAM	Latin America and the Caribbean
SXM	Latin America and the Caribbean
MNG	Eastern Asia
AND	Southern Europe
MMR	South-eastern Asia
EGY	Northern Africa
ABW	Latin America and the Caribbean
IOT	Sub-Saharan Africa
LBY	Northern Africa
SJM	Northern Europe
DMA	Latin America and the Caribbean
SLB	Melanesia
MNP	Micronesia
PRK	Eastern Asia
MHL	Micronesia
MOZ	Sub-Saharan Africa
TCA	Latin America and the Caribbean
PCN	Polynesia
IMN	Northern Europe
DNK	Northern Europe
CYM	Latin America and the Caribbean
GUM	Micronesia
RWA	Sub-Saharan Africa
SLE	Sub-Saharan Africa
LTU	Northern Europe
VIR	Latin America and the Caribbean
ZMB	Sub-Saharan Africa
CUB	Latin America and the Caribbean
GMB	Sub-Saharan Africa
MDG	Sub-Saharan Africa
NIC	Latin America and the Caribbean
VUT	Melanesia
CYP	Western Asia
CRI	Latin America and the Caribbean
SUR	Latin America and the Caribbean
ECU	Latin America and the Caribbean
BGD	Southern Asia
BIH	Southern Europe
MEX	Latin America and the Caribbean
ATA	nan
JEY	Northern Europe
FSM	Micronesia
UMI	Micronesia
CZE	Eastern Europe
ZWE	Sub-Saharan Africa
SHN	Sub-Saharan Africa
ESP	Southern Europe
COD	Sub-Saharan Africa
VNM	South-eastern Asia
CPV	Sub-Saharan Africa
ATG	Latin America and the Caribbean
GUF	Latin America and the Caribbean
SGS	Latin America and the Caribbean
HMD	Australia and New Zealand
TUV	Polynesia
KNA	Latin America and the Caribbean
PLW	Micronesia
AIA	Latin America and the Caribbean
BGR	Eastern Europe
YEM	Western Asia
PAN	Latin America and the Caribbean
LSO	Sub-Saharan Africa
SVN	Southern Europe
MKD	Southern Europe
SVK	Eastern Europe
BRB	Latin America and the Caribbean
CHN	Eastern Asia
ISL	Northern Europe
GRD	Latin America and the Caribbean
NRU	Micronesia
MTQ	Latin America and the Caribbean
MWI	Sub-Saharan Africa
CMR	Sub-Saharan Africa
TJK	Central Asia
ISR	Western Asia
GBR	Northern Europe
LAO	South-eastern Asia
COG	Sub-Saharan Africa
REU	Sub-Saharan Africa
RUS	Eastern Europe
WLF	Polynesia
SMR	Southern Europe
BEL	Western Europe
BES	Latin America and the Caribbean
AZE	Western Asia
BFA	Sub-Saharan Africa
HKG	Eastern Asia
AFG	Southern Asia
BLR	Eastern Europe
MCO	Western Europe
UKR	Eastern Europe
LBN	Western Asia
TTO	Latin America and the Caribbean
PNG	Melanesia
TUR	Western Asia
NLD	Western Europe
AGO	Sub-Saharan Africa
OMN	Western Asia
CCK	Australia and New Zealand
COL	Latin America and the Caribbean
PRY	Latin America and the Caribbean
CUW	Latin America and the Caribbean
MLI	Sub-Saharan Africa
POL	Eastern Europe
TGO	Sub-Saharan Africa
MUS	Sub-Saharan Africa
KWT	Western Asia
MNE	Southern Europe
KEN	Sub-Saharan Africa
IRN	Southern Asia
NFK	Australia and New Zealand
COM	Sub-Saharan Africa
KIR	Micronesia
TLS	South-eastern Asia
AUS	Australia and New Zealand
SWE	Northern Europe
PSE	Western Asia
SDN	Northern Africa
CXR	Australia and New Zealand
KGZ	Central Asia
